,Time,Latitude,Longitude,Position (m),Speed (km/h),Acceleration (m/s2)
125,3/22/2026 18:53:25.600,31.7745927,-106.5011573,33.799374181808396,10.512,-0.8000000000000002
126,3/22/2026 18:53:25.640,31.7745918,-106.5011564,33.93087256150031,10.476,-0.8250000000000007
127,3/22/2026 18:53:25.680,31.7745909,-106.5011558,34.046031877547655,10.404,-0.8625000000000005
128,3/22/2026 18:53:25.720,31.7745901,-106.5011551,34.15702417690438,10.296,-0.9249999999999992
129,3/22/2026 18:53:25.760,31.7745893,-106.5011544,34.26801647692037,10.188,-1.0249999999999992
130,3/22/2026 18:53:25.800,31.7745885,-106.5011537,34.37900877696099,10.008,-1.0499999999999998
131,3/22/2026 18:53:25.840,31.7745878,-106.5011528,34.49444869742489,9.756,-0.9874999999999995
132,3/22/2026 18:53:25.880,31.774587,-106.5011523,34.595294491470725,9.576,-0.9250000000000004
133,3/22/2026 18:53:25.920,31.7745863,-106.5011516,34.69757101161015,9.648,-0.8875000000000005
134,3/22/2026 18:53:25.960,31.7745856,-106.5011509,34.79984753177296,9.612,-0.9500000000000004
135,3/22/2026 18:53:26.000,31.7745848,-106.5011502,34.91083983371241,9.36,-0.9875
136,3/22/2026 18:53:26.040,31.774584,-106.5011496,35.016457178873985,9.252,-0.9375
137,3/22/2026 18:53:26.080,31.7745833,-106.5011489,35.11873370040499,9.144,-0.9125
138,3/22/2026 18:53:26.120,31.7745826,-106.5011483,35.21515060526519,8.892000000000001,-0.8500000000000002
139,3/22/2026 18:53:26.160,31.774582,-106.5011477,35.30281619510181,8.64,-0.6875000000000004
140,3/22/2026 18:53:26.200,31.7745813,-106.5011471,35.39923310011234,8.532,-0.5624999999999998
141,3/22/2026 18:53:26.240,31.7745807,-106.5011465,35.48689869046584,8.388,-0.5749999999999994
142,3/22/2026 18:53:26.280,31.77458,-106.5011459,35.583315596265955,8.28,-0.6624999999999993
143,3/22/2026 18:53:26.320,31.7745793,-106.5011454,35.67448066765817,8.388,-0.7499999999999997
144,3/22/2026 18:53:26.360,31.7745786,-106.5011448,35.77089757285276,8.136,-0.7374999999999996
145,3/22/2026 18:53:26.400,31.774578,-106.5011442,35.858563165150834,7.992000000000001,-0.6499999999999994
146,3/22/2026 18:53:26.440,31.7745774,-106.5011436,35.94622875711771,7.920000000000001,-0.6
147,3/22/2026 18:53:26.480,31.7745768,-106.501143,36.03389434989289,7.848000000000001,-0.5875000000000004
148,3/22/2026 18:53:26.520,31.7745762,-106.5011426,36.11066723069629,7.74,-0.6250000000000007
149,3/22/2026 18:53:26.560,31.7745756,-106.5011421,36.19252140975566,7.812,-0.6625000000000005
150,3/22/2026 18:53:26.600,31.7745749,-106.5011414,36.29479793488177,7.74,-0.6625000000000006
151,3/22/2026 18:53:26.640,31.7745743,-106.5011409,36.37665211432556,7.524,-0.6625000000000006
152,3/22/2026 18:53:26.680,31.7745738,-106.5011404,36.449706775747444,7.236,-0.6250000000000006
153,3/22/2026 18:53:26.720,31.7745733,-106.50114,36.51701912237742,7.272,-0.6375000000000003
154,3/22/2026 18:53:26.760,31.7745727,-106.5011394,36.60468471678274,7.128,-0.5625
155,3/22/2026 18:53:26.800,31.7745721,-106.5011389,36.686538896877096,7.128,-0.4625000000000002
156,3/22/2026 18:53:26.840,31.7745716,-106.5011384,36.759593558726586,7.056,-0.5250000000000006
157,3/22/2026 18:53:26.880,31.774571,-106.5011379,36.84144773914622,7.02,-0.5875000000000002
158,3/22/2026 18:53:26.920,31.7745705,-106.5011374,36.91450240166149,6.768,-0.6
159,3/22/2026 18:53:26.960,31.77457,-106.501137,36.98181474980723,6.876,-0.6375
160,3/22/2026 18:53:27.000,31.7745695,-106.5011365,37.05486941265382,6.768,-0.6000000000000003
161,3/22/2026 18:53:27.040,31.7745689,-106.5011361,37.131642294930224,6.588,-0.4750000000000002
162,3/22/2026 18:53:27.080,31.7745684,-106.5011356,37.204696957839964,6.372,-0.3624999999999997
163,3/22/2026 18:53:27.120,31.774568,-106.5011351,37.26967157756691,6.3,-0.29999999999999993
164,3/22/2026 18:53:27.160,31.7745675,-106.5011347,37.336983926288,6.48,-0.41250000000000037
165,3/22/2026 18:53:27.200,31.774567,-106.5011342,37.410038589661596,6.444,-0.5875000000000002
166,3/22/2026 18:53:27.240,31.7745665,-106.5011338,37.47735093818355,6.228,-0.6249999999999999
167,3/22/2026 18:53:27.280,31.774566,-106.5011334,37.54466328724985,6.156,-0.625
168,3/22/2026 18:53:27.320,31.7745655,-106.5011331,37.60714559537271,5.904,-0.5875000000000001
169,3/22/2026 18:53:27.360,31.774565,-106.5011327,37.67445794499617,5.904,-0.5375000000000002
170,3/22/2026 18:53:27.400,31.7745647,-106.5011322,37.732373912804995,6.012,-0.5124999999999995
171,3/22/2026 18:53:27.440,31.7745641,-106.5011318,37.80914679604994,5.976,-0.4624999999999996
172,3/22/2026 18:53:27.480,31.7745636,-106.5011315,37.87162910443777,5.94,-0.46249999999999974
173,3/22/2026 18:53:27.520,31.7745631,-106.501131,37.94468376910355,5.867999999999999,-0.5125
174,3/22/2026 18:53:27.560,31.7745627,-106.5011306,38.00312750148467,5.724,-0.5125
175,3/22/2026 18:53:27.600,31.7745623,-106.5011302,38.06157123310074,5.508,-0.5125
176,3/22/2026 18:53:27.640,31.7745619,-106.5011298,38.12001496569391,5.364,-0.6124999999999996
177,3/22/2026 18:53:27.680,31.7745616,-106.5011295,38.1638477646975,5.22,-0.5874999999999997
